Thresholds,Mean,Median,95th Percentile,Number of compounds,type,Mean counts
0.65,8922,10270,12200,100,maccs,14090
0.65,9100,10410,12150,250,maccs,15253.9
0.65,9330,10566,12310,500,maccs,16717.86
0.65,9340,10560,12420,1000,maccs,17074.55
0.75,6170,6863,9440,100,maccs,1387.17
0.75,6490,7265,9480,250,maccs,1460.7
0.75,6520,7327,9571,500,maccs,1458.63
0.75,6550,7420,9516,1000,maccs,1458.71
0.85,3278,3372,5966,100,maccs,95.19
0.85,3470,3540,6058,250,maccs,89.028
0.85,3520,3630,6146,500,maccs,82.06
0.85,3600,3710,6170,1000,maccs,78.16
0.95,813,822,1591,100,maccs,5.43
0.95,848,857,1637,250,maccs,6
0.95,868,888,1698,500,maccs,6.018
0.95,895,910,1757.7,1000,maccs,5.837
0.65,4795,5424,7195,100,morgan,13.39
0.65,5194,5873,7428,250,morgan,15.89
0.65,5490,6148,7697,500,morgan,16.13
0.65,5516,6092,7702,1000,morgan,17.56
0.75,2797,3097.1,4693,100,morgan,4.73
0.75,3002,3395,4747,250,morgan,5.52
0.75,3130,3542,4816,500,morgan,5.77
0.75,3216,3607,4975,1000,morgan,6.18
0.85,1191,1251,2158,100,morgan,1.98
0.85,1300,1421,2249,250,morgan,2.096
0.85,1379,1496,2282,500,morgan,2.276
0.85,1395,1519,2301,1000,morgan,2.25
0.95,263,283,441,100,morgan,1.22
0.95,277,304,452.3,250,morgan,1.244
0.95,286,316,439,500,morgan,1.36
0.95,281,310.1,436,1000,morgan,1.343
